Date,Symbol,K val,D val,Buy,Sell
2016-10-26,MAT,74.49793833044579,67.27104139162188,None,None
2016-10-27,MAT,68.79821255809809,63.65759292220992,None,None
2016-10-28,MAT,72.74611582962834,61.087283104265836,None,None
2016-10-31,MAT,65.16752051863608,55.257866741584586,None,None
2016-11-01,MAT,50.90911955917652,50.30303985305884,None,None
2016-10-26,VRSK,27.78923976517917,31.418875968958922,None,None
2016-10-27,VRSK,27.180021293385167,33.2336940708488,None,None
2016-10-28,VRSK,29.701304156178384,36.260530459580615,None,None
2016-10-31,VRSK,31.574871856883405,39.54014361128173,None,None
2016-11-01,VRSK,30.568338465442682,43.52277948848089,None,None
2016-10-26,FOXA,68.21542359783814,64.3358639682613,None,None
2016-10-27,FOXA,61.46942703857637,62.396084153472856,None,None
2016-10-28,FOXA,69.033319617839,62.859412710921106,None,None
