Date,Symbol,K val,D val,Buy,Sell
2016-10-27,BMRN,48.39192933673556,47.945835480162295,None,None
2016-10-28,BMRN,46.74757923212624,47.72278855187567,None,None
2016-10-31,BMRN,44.63117963525114,48.21039321175038,None,None
2016-10-27,SWKS,58.491176169183504,53.735739381497396,None,None
2016-10-28,SWKS,49.03702592592593,51.35802098765434,None,None
2016-10-31,SWKS,57.55555555555563,52.51851851851855,None,None
2016-10-27,NVDA,62.13465764988939,58.23260935978639,None,None
2016-10-28,NVDA,61.837145505142956,56.28158521473489,None,None
2016-10-31,NVDA,60.51141520859257,53.503805069530856,None,None
2016-10-27,AVGO,70.10794114544814,60.21674004010319,None,None
2016-10-28,AVGO,59.636276962569426,55.27113948743072,None,None
2016-10-31,AVGO,59.265712249584105,53.088570749861375,None,None
2016-10-27,PCLN,54.56922918432927,56.50202272561263,None,None
